id,name,code,brand,barcode_symbology,category,order_tax,tax_type,description,type,product_cost,product_price,product_unit,sale_unit,purchase_unit,stock_alert,has_serial,not_for_selling,image_urls,created_at,updated_at
881bc12c-5d3d-449d-9006-dcd99a16312b,Marinated Chicken,PRD-000002,da6c84ed-ae42-45bb-ae7c-396a92cd8da7,1,b5e0bffd-dd8b-4d98-8330-9550646c2307,0,Exclusive,,Standard Product,235,0,190de03d-56f4-4743-94e7-069a95a37583,190de03d-56f4-4743-94e7-069a95a37583,190de03d-56f4-4743-94e7-069a95a37583,500,false,false,,2025-06-30 14:43:17.717752+00,2025-06-30 14:43:17.717752+00
c2dd7582-b667-4039-be80-682e6eb71779,CHICKEN,PRD-000001,da6c84ed-ae42-45bb-ae7c-396a92cd8da7,123,b5e0bffd-dd8b-4d98-8330-9550646c2307,0,Exclusive,,Standard Product,220,300,190de03d-56f4-4743-94e7-069a95a37583,190de03d-56f4-4743-94e7-069a95a37583,190de03d-56f4-4743-94e7-069a95a37583,500,false,false,,2025-06-30 14:01:57.009709+00,2025-06-30 14:01:57.009709+00
