id,adjustment_batch_id,product_id,type,quantity,before_stock,after_stock,adjusted_by,adjusted_at
063f8ca3-fd3e-44d7-83fa-7820c7d3642e,a52e756e-4d20-4d73-af7d-b5f1fbe89166,881bc12c-5d3d-449d-9006-dcd99a16312b,addition,1000,0,1000,,2025-06-30 23:20:22.740271+00
2ec7e084-c608-4e1a-90c9-c3c641a662bf,a52e756e-4d20-4d73-af7d-b5f1fbe89166,c2dd7582-b667-4039-be80-682e6eb71779,subtraction,1000,26380,25380,,2025-06-30 23:20:22.740271+00
40f92444-7af8-4d4f-a0f4-00dc7dde625f,c6e4fef9-f0f9-474a-8e41-c789178008a5,881bc12c-5d3d-449d-9006-dcd99a16312b,addition,1380,-2488,-1108,,2025-07-01 11:01:26.672949+00
7cf19a0b-9809-46d5-b06e-d7ee54f82470,2421874b-d8c9-4ab1-948e-545fe7d5a53d,c2dd7582-b667-4039-be80-682e6eb71779,subtraction,24000,25380,1380,,2025-07-01 00:45:18.683835+00
9fd566a5-d34c-40f4-94c6-a452b80cb1ee,2421874b-d8c9-4ab1-948e-545fe7d5a53d,881bc12c-5d3d-449d-9006-dcd99a16312b,addition,24000,1000,25000,,2025-07-01 00:45:18.683835+00
b47e9016-bc59-4592-8d29-394932b24881,c6e4fef9-f0f9-474a-8e41-c789178008a5,c2dd7582-b667-4039-be80-682e6eb71779,subtraction,1380,1380,0,,2025-07-01 11:01:26.672949+00
